method,n_fixed_obs,n_grip_obs,n_sets,consistency_trans_rmse_mm,consistency_rot_rmse_deg,grip_align_trans_rmse_mm,cube_pos_err_vs_fk_mm,optimizer_cost,train_sets,test_sets,n_test_sets,downstream_trans_rmse_mm,downstream_fk_trans_rmse_mm,downstream_se3_trans_rmse_mm,fk_rigid_angle_deg,fk_rigid_trans_mm,note
independent,286,75,9,15.982090491295176,8.980028251861523,15.05653031512357,0.0,,"1,2,3,5,7,8,9,10,11","0,4,6,12",4,13.386096634675358,2.8096512640545686,5.063193330725913,3.0275806984621236,27.405995055513177,
unified_joint,286,75,9,15.245236948843916,7.469205069631642,13.66951103280121,4.855375207797628,3.348169104021835,"1,2,3,5,7,8,9,10,11","0,4,6,12",4,11.671018892492802,2.5081100823597975,4.504067585370404,2.7142480537954237,26.44022900879598,
joint_fk_fixed,286,75,9,16.77464383992207,8.466412570305433,15.05653031355771,0.0,3.9920117386279266,"1,2,3,5,7,8,9,10,11","0,4,6,12",4,11.525601498184345,2.5783485161457222,4.589658771698445,2.691415073496207,25.20435565222506,
