point_id,axis,cube_max_pnp_rmse_px,cube_min_inlier_fraction,board_min_charuco_corners,method,split_frozen,heldout_population_frozen,manifest_train_observations,manifest_train_corners,n_runs,converged_runs,heldout_overall_reprojection_rmse_px,train_overall_reprojection_rmse_px,heldout_board_reprojection_rmse_px,train_board_reprojection_rmse_px,heldout_cube_reprojection_rmse_px,train_cube_reprojection_rmse_px,n_heldout_observations,n_heldout_corners,n_train_observations,n_train_corners,heldout_path_mask_sha256,cross_view_pixel_transfer_rmse_px,e_cross_translation_rmse_mm,e_e2e_translation_rmse_mm
C2,board_min_charuco_corners,3.0,0.0,20,A2,True,True,116,3632,3,3,3.9030005614003875,3.7664126049956153,3.9960644650261714,3.862298108221473,3.6115972096839646,3.3537753090705054,35,939,116,3632,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,3.6927732650518816,5.454114385388505,6.5227477619543
C2,board_min_charuco_corners,3.0,0.0,20,A3,True,True,116,3632,3,3,4.812948397375883,5.173567881866066,4.193824130104329,4.072995178935269,6.306763385227296,8.224386648058811,35,939,116,3632,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,6.044864719068894,8.712696471508023,6.028037647848237
C3,board_min_charuco_corners,3.0,0.0,28,A0,True,True,109,3474,3,3,8.905320937175356,3.90249629672066,8.905320937175356,3.90249629672066,,,17,703,50,2750,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,,,
C3,board_min_charuco_corners,3.0,0.0,28,A2,True,True,109,3474,3,3,4.064433234878276,3.7996843153982858,4.124191091950636,3.9030828817157768,3.880976790554198,3.3782231520868273,35,939,109,3474,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,3.6658434286427295,5.135828375897211,6.596194301564069
C3,board_min_charuco_corners,3.0,0.0,28,A3,True,True,109,3474,3,3,5.635122509458408,5.1230776330836045,5.637445764733864,4.023623173409558,5.628196279459061,8.027671154814923,35,939,109,3474,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,6.078691195612713,6.730665403569454,5.457643210225857
C4,board_min_charuco_corners,3.0,0.0,36,A0,True,True,109,3474,3,3,8.905320937175356,3.90249629672066,8.905320937175356,3.90249629672066,,,17,703,50,2750,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,,,
C4,board_min_charuco_corners,3.0,0.0,36,A2,True,True,109,3474,3,3,4.064433234878276,3.7996843153982858,4.124191091950636,3.9030828817157768,3.880976790554198,3.3782231520868273,35,939,109,3474,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,3.6658434286427295,5.135828375897211,6.596194301564069
C4,board_min_charuco_corners,3.0,0.0,36,A3,True,True,109,3474,3,3,5.635122509458408,5.1230776330836045,5.637445764733864,4.023623173409558,5.628196279459061,8.027671154814923,35,939,109,3474,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,6.078691195612713,6.730665403569454,5.457643210225857
I1,cube_min_inlier_fraction,3.0,0.9,4,A0,True,True,117,3651,3,3,4.074073136438391,3.818033076116111,4.074073136438391,3.818033076116111,,,17,703,60,2959,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,,,
I1,cube_min_inlier_fraction,3.0,0.9,4,A2,True,True,117,3651,3,3,3.900787198416875,3.7539247193029435,3.9863367609689804,3.8308233438537176,3.6340357826994087,3.4055746113255467,35,939,117,3651,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,3.8736171483109074,5.738373454578017,6.411861162805163
I1,cube_min_inlier_fraction,3.0,0.9,4,A3,True,True,117,3651,3,3,4.794394909617435,5.076474558813067,4.115950716208868,4.046669992308051,6.402629426894401,8.120588751230379,35,939,117,3651,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,5.861290515950043,9.019345531584586,6.148942846714161
I2,cube_min_inlier_fraction,3.0,1.0,4,A0,True,True,116,3635,3,3,4.074073136438391,3.818033076116111,4.074073136438391,3.818033076116111,,,17,703,60,2959,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,,,
I2,cube_min_inlier_fraction,3.0,1.0,4,A2,True,True,116,3635,3,3,3.925465390950657,3.741096467341345,3.974904610363305,3.823105315221651,3.7743594538736516,3.35864200338403,35,939,116,3635,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,3.8306154646132575,5.6859621897534005,6.382436169929712
I2,cube_min_inlier_fraction,3.0,1.0,4,A3,True,True,116,3635,3,3,4.790129016712906,5.082507297870864,4.112636409025796,4.046539316108305,6.39626625791703,8.19932867723729,35,939,116,3635,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,5.884137259760524,9.060011192354535,6.135272325929403
