arm,anchor_lambda_px_per_mm,n_splits,n_runs,n_converged,N_reg,e_reproj_overall_px_mean,e_reproj_overall_px_std,e_e2e_mm_mean,e_e2e_mm_std,e_cross_mm_mean,e_cross_mm_std,jacobian_condition_mean
A2,0.0,5,15,15,3.0,4.507491241486188,0.43874184403390126,16.19557215985004,1.297567566256978,38.93382275254254,3.407516584196856,332.8863832942562
A3,,5,15,15,3.0,4.623030725287533,0.43375582087710357,16.187905927692217,1.2855805945693206,38.048042156822454,3.511762144172027,51.478794732074334
A2@lam3,3.0,5,15,15,3.0,4.525247161586313,0.4373920991709805,16.2352368851564,1.2932396881720436,38.76338020244769,3.4491903380559483,289.3368367234268
