row,target_set,unified,fk_to_cube,fk_to_board,status,converged_runs,total_runs,n_registered_cams,heldout_reprojection_mean_px,heldout_reprojection_std_px,heldout_cube_reprojection_mean_px,heldout_cube_reprojection_std_px,heldout_board_reprojection_mean_px,heldout_board_reprojection_std_px,heldout_eih_reprojection_mean_px,heldout_eih_reprojection_std_px,heldout_e2h_reprojection_mean_px,heldout_e2h_reprojection_std_px,train_reprojection_mean_px_diagnostic,train_reprojection_std_px_diagnostic,heldout_e2e_translation_mean_mm,heldout_e2e_translation_std_mm,heldout_e2e_rotation_mean_deg,heldout_e2e_rotation_std_deg,heldout_cross_translation_mean_mm,heldout_cross_translation_std_mm,heldout_cross_rotation_mean_deg,heldout_cross_rotation_std_deg,heldout_cam_0_reprojection_mean_px,heldout_cam_0_reprojection_std_px,heldout_cam_1_reprojection_mean_px,heldout_cam_1_reprojection_std_px,heldout_cam_2_reprojection_mean_px,heldout_cam_2_reprojection_std_px,heldout_cam_3_reprojection_mean_px,heldout_cam_3_reprojection_std_px
A0,board,seq,—,estimated,converged,5,5,2,1.4691491462566804,9.040054144746781e-06,,,1.4691491462566804,9.040054144746781e-06,1.575698206485968,9.77851167249049e-06,0.3713428492327221,1.0346389718465396e-06,1.5806651397513947,6.4673475326222185e-06,,,,,,,,,0.30507575018618194,5.254975709032779e-07,0.5077704169997738,2.3976694538089986e-06,1.575698206485968,9.77851167249049e-06,,
A1,cube+board,seq,estimated,estimated,converged,5,5,3,5.270258242195366,9.219241235457047e-06,8.529069214376335,1.472071504658804e-05,1.4687565141147148,5.194202097119795e-06,1.6659529142658656,1.6812228464187955e-05,8.724250951616382,1.9063101864738467e-05,4.889506518973365,9.666523330404316e-06,18.41700472197192,0.00016863998700844592,8.534843001348069,6.243103885125487e-05,44.45012615290979,0.0005570060699261909,40.50579950804071,4.529015818160863e-05,12.780995742188816,2.8997050009283678e-05,1.111637089636737,5.016948333837449e-05,1.6659529142658656,1.6812228464187955e-05,1.0748317562231775,8.878123158342753e-05
A2,cube+board,U,estimated,estimated,converged,5,5,3,5.100041679871144,9.637249938261935e-06,8.2373131195731,2.8416195511510553e-05,1.4741663585553948,3.843264039989844e-05,1.639001617158975,3.663434714324172e-05,8.432475261823493,2.777758512000871e-05,4.741071124459372,1.7390727089760667e-05,18.354466632327597,0.0003846413982324146,8.522766331583608,0.00014370573790508523,43.80524512702406,0.00028508083405495396,40.51175244257549,7.279621499019521e-05,12.373935192877179,3.424673189255076e-05,0.8239721622272776,7.043087530349798e-05,1.639001617158975,3.663434714324172e-05,0.8402003746690259,0.00016561749877326996
A3,cube+board,U,FK-fixed,estimated,converged,5,5,3,5.206648150786124,2.727011699083325e-05,8.416951696999295,3.3006693292310356e-05,1.4810535906042563,0.00011730881770951311,1.6540526451688649,8.088729758515416e-05,8.615914193927917,3.5992872649600866e-05,4.861275470965964,1.9271174938021455e-05,18.32207283254014,0.0005293544184693345,8.485230927593443,8.673501877737384e-05,42.92758204210956,0.00027397460603518516,40.49079595856937,2.1693724751890643e-05,12.642880237603741,5.245427516833656e-05,0.7509446317403161,7.209254737599853e-05,1.6540526451688649,8.088729758515416e-05,0.975624249365314,9.959520263307044e-06
B1,cube+board,seq,FK-fixed,estimated,converged,5,5,3,5.21580298760608,1.1616522883444667e-05,8.432958319828874,2.044234518433175e-05,1.4797441660631185,4.475962320270363e-06,1.6555125767585583,2.738294076394586e-06,8.63160089382814,2.1190619321458716e-05,4.86830839294632,1.1565990566674383e-05,18.325195653661982,5.823940905057343e-05,8.479433605886925,2.3050294503750892e-05,42.99172551026938,0.000288232238103266,40.49152613841354,2.9207596061811098e-05,12.665092129286634,3.101515533714417e-05,0.7736543463150801,8.695365188939829e-06,1.6555125767585583,2.738294076394586e-06,0.9756260732966604,1.0308867998991302e-05
B2,cube,U,FK-fixed,—,converged,5,5,3,8.391126368375268,3.5227267522039675e-06,8.391126368375268,3.5227267522039675e-06,,,1.9203838411287943,8.340355312519354e-05,9.974740195973244,6.900262713365319e-06,7.766428463777849,5.643118963220497e-06,17.722407136216283,0.00018647563513158035,8.519329778284757,9.525877807470695e-05,42.7473032685986,0.00031804005148896057,40.482946933551865,1.5858306214716093e-05,16.375253496937084,1.132132631221798e-05,0.7779419530537641,4.539882013790868e-06,1.9203838411287943,8.340355312519354e-05,0.9756009834849587,1.494910213612981e-05
B3,board,U,—,estimated,converged,5,5,2,1.4691493354893854,1.0947958565282966e-05,,,1.4691493354893854,1.0947958565282966e-05,1.57569876150068,1.2392552702025614e-05,0.3713335923603073,2.3597304944084793e-05,1.5806641438896556,2.315554709803164e-06,,,,,,,,,0.30507494207749464,5.751022077745644e-06,0.507746831109098,5.805385723961206e-05,1.57569876150068,1.2392552702025614e-05,,
