method,status,n_runs,reference_dependent_overall_reprojection_rmse_px_mean,reference_dependent_overall_reprojection_rmse_px_std,reference_dependent_board_reprojection_rmse_px_mean,reference_dependent_board_reprojection_rmse_px_std,reference_dependent_cube_reprojection_rmse_px_mean,reference_dependent_cube_reprojection_rmse_px_std,n_reference_dependent_observations,n_reference_dependent_corners,fixed_to_fixed_board_cross_view_pixel_transfer_rmse_px_mean,fixed_to_fixed_board_cross_view_pixel_transfer_rmse_px_std,fixed_to_fixed_board_pose_consistency_translation_rmse_mm_mean,fixed_to_fixed_board_pose_consistency_translation_rmse_mm_std,fixed_to_fixed_board_pose_consistency_rotation_rmse_deg_mean,fixed_to_fixed_board_pose_consistency_rotation_rmse_deg_std,n_fixed_to_fixed_board_pairs,n_fixed_to_fixed_board_directions,fixed_to_fixed_cube_cross_view_pixel_transfer_rmse_px_mean,fixed_to_fixed_cube_cross_view_pixel_transfer_rmse_px_std,fixed_to_fixed_cube_pose_consistency_translation_rmse_mm_mean,fixed_to_fixed_cube_pose_consistency_translation_rmse_mm_std,fixed_to_fixed_cube_pose_consistency_rotation_rmse_deg_mean,fixed_to_fixed_cube_pose_consistency_rotation_rmse_deg_std,n_fixed_to_fixed_cube_pairs,n_fixed_to_fixed_cube_directions,gripper_to_fixed_board_cross_view_pixel_transfer_rmse_px_mean,gripper_to_fixed_board_cross_view_pixel_transfer_rmse_px_std,gripper_to_fixed_board_pose_consistency_translation_rmse_mm_mean,gripper_to_fixed_board_pose_consistency_translation_rmse_mm_std,gripper_to_fixed_board_pose_consistency_rotation_rmse_deg_mean,gripper_to_fixed_board_pose_consistency_rotation_rmse_deg_std,n_gripper_to_fixed_board_pairs,n_gripper_to_fixed_board_directions,gripper_to_fixed_cube_cross_view_pixel_transfer_rmse_px_mean,gripper_to_fixed_cube_cross_view_pixel_transfer_rmse_px_std,gripper_to_fixed_cube_pose_consistency_translation_rmse_mm_mean,gripper_to_fixed_cube_pose_consistency_translation_rmse_mm_std,gripper_to_fixed_cube_pose_consistency_rotation_rmse_deg_mean,gripper_to_fixed_cube_pose_consistency_rotation_rmse_deg_std,n_gripper_to_fixed_cube_pairs,n_gripper_to_fixed_cube_directions,legacy_cube_path_e_cross_translation_rmse_mm_mean,legacy_cube_path_e_cross_translation_rmse_mm_std,legacy_cube_path_e_cross_rotation_rmse_deg_mean,legacy_cube_path_e_cross_rotation_rmse_deg_std,legacy_cube_path_e_e2e_translation_rmse_mm_mean,legacy_cube_path_e_e2e_translation_rmse_mm_std,legacy_cube_path_e_e2e_rotation_rmse_deg_mean,legacy_cube_path_e_e2e_rotation_rmse_deg_std,legacy_cube_path_cross_view_pixel_transfer_rmse_px_mean,legacy_cube_path_cross_view_pixel_transfer_rmse_px_std,n_legacy_cube_cross_pairs,n_legacy_cube_cross_view_directions,n_fk_dependent_e2e_units
A0,complete,3,7.0308804552764945,8.386202569582586e-05,0.868322093379594,6.921647113722106e-06,12.409819542400838,0.00015018043304071665,17,340,1.1850595546307858,4.1160030861476513e-05,1.7186305389243985,5.1542971823280224e-05,0.192583316044617,2.5901155259509337e-06,7,14,6.6802763744706395,7.209642149337388e-05,10.115006672100648,9.657400255899285e-05,0.6312339143879945,3.860421613769596e-06,9,18,4.544451203714368,9.9167428230948e-05,5.481053263558052,0.00032463530693995835,0.7966053480406954,9.632063632906279e-05,23,46,7.4401545601813766,9.1525015259809e-05,8.1420705752953,3.533011215749877e-05,0.9778605037127256,0.0001033961402396279,27,54,10.115006672100648,9.657400255899285e-05,0.6312339143879945,3.860421613769596e-06,5.5450526311185415,8.892639036239488e-05,0.8551740641877018,0.0001188402346738143,6.6802763744706395,7.209642149337388e-05,9,18,9
A1,complete,3,6.8393790511046655,3.5397866071792875e-05,1.3305486948749545,0.00017033900728363307,11.977406386874847,0.0001042804721403042,17,340,2.846750273257124,0.0025408534497738757,3.8416921676718574,0.0036022617294900576,0.3315894407852374,0.0002768879303192746,7,14,6.316665194941268,0.0027899413501324914,9.229075193311312,0.003354155767660395,0.8209877732525169,0.0002776151469720186,9,18,4.835629393983841,0.00048020417192394174,6.104542463553648,0.0005038416106561211,0.9829441121290832,0.0001405990118894052,23,46,7.609976002861264,0.001316239872480336,8.691412541742851,0.0017680747603414392,1.116386431084036,0.0001148494759766166,27,54,9.229075193311312,0.003354155767660395,0.8209877732525169,0.0002776151469720186,6.460790566387421,0.0007557886206914802,0.9756248249191602,0.00013885778429373368,6.316665194941268,0.0027899413501324914,9,18,9
A2,complete,3,6.962472574017778,0.00015831829634362348,1.2176829761205394,7.194512944827857e-05,12.22393290484545,0.00027408061032650467,17,340,3.0242980581085246,0.0008595929804135937,4.320056730293366,0.0009323452700670373,0.4217747770925276,0.00019035666584579802,7,14,3.9991885475751547,0.00029028636789149597,5.959802605574821,0.0009228742623509855,0.6321563463878191,0.0001517477820529313,9,18,5.28896701917002,0.00034004144973844236,7.25385329475747,0.00024359986561665723,1.0833016439636214,0.0002055415817384523,23,46,6.89866119012279,0.00021004447206409547,7.6781320146865015,0.0002233667463610322,1.129587361715317,0.00016689894864431513,27,54,5.959802605574821,0.0009228742623509855,0.6321563463878191,0.0001517477820529313,6.447024823673755,0.00015215052190455902,1.0395334994575174,0.00016525384007870904,3.9991885475751547,0.00029028636789149597,9,18,9
A3,complete,3,4.794186236603003,0.00013798683351091964,3.9609839672347817,0.00011107787890385594,6.217281740883249,0.00019095736900870235,17,340,2.499942810556144,0.00019233026720108507,2.649945030844243,0.001128421917654136,1.7228912843649125,0.0007200585601109912,7,14,5.8562221978335165,0.0014052218547551925,9.023758481518021,0.0013935039192021204,2.1768969261011266,0.0007872524063961983,9,18,4.836367655761791,0.0002569399948233746,4.564618873439433,0.0007319668509402855,1.9454495723450516,7.274255828792044e-05,23,46,7.166575750867871,0.00030084403164911354,8.096633755535933,0.0004426330140710668,2.059043639518267,0.00011311091897224802,27,54,9.023758481518021,0.0013935039192021204,2.1768969261011266,0.0007872524063961983,6.09462121908756,0.0003090958083498895,1.6393031832247724,0.00024702800222530007,5.8562221978335165,0.0014052218547551925,9,18,9
A4,preflight_simulation_prior,3,6.950798696747885,4.508826675480491e-05,1.2049286523775553,5.297417049829348e-05,12.20571926793964,9.162184575887802e-05,17,340,3.115611046435277,0.00031105678402556424,4.42947039985632,0.0003622567180813174,0.411776895356633,6.029722803899706e-05,7,14,4.037456780303423,0.000266912654730421,5.94998289966071,0.00035731434272703936,0.6293990703687381,6.195339531758494e-05,9,18,5.303422062002772,0.00010851694216768076,7.230470949128666,0.00013778153103010995,1.0632659939268745,3.4077402404697e-05,23,46,6.906386262918986,0.00011739839586104824,7.7073198869365065,9.161345783553937e-05,1.1144104854625823,3.578203458293478e-05,27,54,5.94998289966071,0.00035731434272703936,0.6293990703687381,6.195339531758494e-05,6.4636643979126545,4.3129192787445784e-05,1.0233005498029237,3.206239351569906e-05,4.037456780303423,0.000266912654730421,9,18,9
A5,posthoc_diagnostic,3,6.28184157676834,7.29244289967693e-05,1.482551634224337,6.286144064107111e-05,10.932026875231609,0.00012718033721035145,17,340,4.85626278071614,0.0005308342898777264,7.300510037790663,0.002214783377041443,0.491728236059956,0.0007288948231306457,7,14,3.470573373305849,0.0004416711784100337,4.489168028243009,0.00047168462811765174,0.8072943827865844,0.00032506520655150385,9,18,5.633188230552647,0.0003724273147166485,6.861841007827302,0.0012042116627311574,0.7789518285632374,0.0004118605785403532,23,46,6.289527983896868,0.0002859609028812817,7.258130576616765,0.0003961436819061018,0.9109637709142729,0.00023364734335988747,27,54,4.489168028243009,0.00047168462811765174,0.8072943827865844,0.00032506520655150385,6.142493885633456,0.00048629174098015015,0.7297074518070533,0.00014187866225754474,3.470573373305849,0.0004416711784100337,9,18,9
B1,preflight_simulation_prior,3,6.8098986473322185,0.00012138793914782466,1.3308184684361388,7.743991295865236e-05,11.924342752473796,0.00023660610842170184,17,340,2.9128643463496307,0.0008116292359085511,3.9580895507980194,0.001011437939795514,0.34742429348662557,3.875450760273901e-05,7,14,6.287130364184001,0.00010646042764575409,9.154624828831821,0.0005274346047718869,0.8405612392892672,1.7841803116212728e-05,9,18,4.853586989736579,0.0002550091169294972,6.0975591784005845,0.0005004660690703615,0.9803308639736253,8.854904853060745e-05,23,46,7.590714525862082,0.00023582342714350584,8.686521984466054,0.0003241498275714384,1.116148757280128,7.321984801325972e-05,27,54,9.154624828831821,0.0005274346047718869,0.8405612392892672,1.7841803116212728e-05,6.474962726416428,0.0005284412406035361,0.9702778098821895,8.78589506334395e-05,6.287130364184001,0.00010646042764575409,9,18,9
B2,preflight_simulation_prior,3,6.6695989764067685,7.15663826641403e-05,3.277319328832395,7.680101044783055e-05,10.815171300731173,0.0001881924986978767,17,340,4.168081285547653,0.00011759202738932228,5.715659306482478,0.0003725563767435543,0.35328073853373376,1.041292315550365e-05,7,14,3.561011965565907,0.0010315757935500643,4.870339767608569,0.000884907227108024,0.4865510953878256,5.3417518215200623e-05,9,18,5.461148268100064,9.619065230790969e-05,7.9539859780065285,0.00020822610209366276,1.1039230630116057,1.1906792351754066e-05,23,46,7.252624321750165,0.0003737236637224452,8.104553247316806,0.0004969067281172833,1.1786244156549743,7.94788047765377e-06,27,54,4.870339767608569,0.000884907227108024,0.4865510953878256,5.3417518215200623e-05,7.095612670218952,0.00028283877516346634,1.112194080218112,8.932440943868529e-06,3.561011965565907,0.0010315757935500643,9,18,9
B3,complete,3,7.030734425542778,0.00041996756650504956,0.8682762429894163,0.00013364826219225317,12.409565971734237,0.0007602358047004178,17,340,1.1829377883409944,0.0027134343131816688,1.7158920135640114,0.003755508136655532,0.19313680723533,0.00013469983995647387,7,14,6.676711009567641,0.0023618290366628483,10.109521323011618,0.002443473963663586,0.6309254925921136,0.0002244628490055625,9,18,4.544706910937902,9.185747995965778e-05,5.482120329990497,0.001451147618730165,0.7965517906680183,0.000378178066309884,23,46,7.4385338161396595,0.0010090606975054614,8.140137993136383,0.0012667253933857938,0.9777212320640465,0.00018820643931507868,27,54,10.109521323011618,0.002443473963663586,0.6309254925921136,0.0002244628490055625,5.545223331571935,0.0013750730190425688,0.8550814808587294,0.0002007536690765873,6.676711009567641,0.0023618290366628483,9,18,9
