method,status,n_runs,reference_dependent_overall_reprojection_rmse_px_mean,reference_dependent_overall_reprojection_rmse_px_std,reference_dependent_board_reprojection_rmse_px_mean,reference_dependent_board_reprojection_rmse_px_std,reference_dependent_cube_reprojection_rmse_px_mean,reference_dependent_cube_reprojection_rmse_px_std,n_reference_dependent_observations,n_reference_dependent_corners,fixed_to_fixed_board_cross_view_pixel_transfer_rmse_px_mean,fixed_to_fixed_board_cross_view_pixel_transfer_rmse_px_std,fixed_to_fixed_board_pose_consistency_translation_rmse_mm_mean,fixed_to_fixed_board_pose_consistency_translation_rmse_mm_std,fixed_to_fixed_board_pose_consistency_rotation_rmse_deg_mean,fixed_to_fixed_board_pose_consistency_rotation_rmse_deg_std,n_fixed_to_fixed_board_pairs,n_fixed_to_fixed_board_directions,fixed_to_fixed_cube_cross_view_pixel_transfer_rmse_px_mean,fixed_to_fixed_cube_cross_view_pixel_transfer_rmse_px_std,fixed_to_fixed_cube_pose_consistency_translation_rmse_mm_mean,fixed_to_fixed_cube_pose_consistency_translation_rmse_mm_std,fixed_to_fixed_cube_pose_consistency_rotation_rmse_deg_mean,fixed_to_fixed_cube_pose_consistency_rotation_rmse_deg_std,n_fixed_to_fixed_cube_pairs,n_fixed_to_fixed_cube_directions,gripper_to_fixed_board_cross_view_pixel_transfer_rmse_px_mean,gripper_to_fixed_board_cross_view_pixel_transfer_rmse_px_std,gripper_to_fixed_board_pose_consistency_translation_rmse_mm_mean,gripper_to_fixed_board_pose_consistency_translation_rmse_mm_std,gripper_to_fixed_board_pose_consistency_rotation_rmse_deg_mean,gripper_to_fixed_board_pose_consistency_rotation_rmse_deg_std,n_gripper_to_fixed_board_pairs,n_gripper_to_fixed_board_directions,gripper_to_fixed_cube_cross_view_pixel_transfer_rmse_px_mean,gripper_to_fixed_cube_cross_view_pixel_transfer_rmse_px_std,gripper_to_fixed_cube_pose_consistency_translation_rmse_mm_mean,gripper_to_fixed_cube_pose_consistency_translation_rmse_mm_std,gripper_to_fixed_cube_pose_consistency_rotation_rmse_deg_mean,gripper_to_fixed_cube_pose_consistency_rotation_rmse_deg_std,n_gripper_to_fixed_cube_pairs,n_gripper_to_fixed_cube_directions,legacy_cube_path_e_cross_translation_rmse_mm_mean,legacy_cube_path_e_cross_translation_rmse_mm_std,legacy_cube_path_e_cross_rotation_rmse_deg_mean,legacy_cube_path_e_cross_rotation_rmse_deg_std,legacy_cube_path_e_e2e_translation_rmse_mm_mean,legacy_cube_path_e_e2e_translation_rmse_mm_std,legacy_cube_path_e_e2e_rotation_rmse_deg_mean,legacy_cube_path_e_e2e_rotation_rmse_deg_std,legacy_cube_path_cross_view_pixel_transfer_rmse_px_mean,legacy_cube_path_cross_view_pixel_transfer_rmse_px_std,n_legacy_cube_cross_pairs,n_legacy_cube_cross_view_directions,n_fk_dependent_e2e_units
A0,complete,3,2.0049838197318297,2.4908319755173483e-05,1.1992313583200531,4.3427778173137286e-05,3.0929044863879667,8.697716663938078e-05,17,340,1.1954452310248287,9.441239494648932e-06,1.7327230312167938,2.0722337471176647e-05,0.19533789398654386,2.237692558330843e-06,7,14,12.64878407419974,2.8168244232047254e-05,16.99278766170366,3.8751536756919363e-05,1.7563427267665228,1.7106620297636553e-06,9,18,4.66401113499134,4.025279712237982e-05,5.752600337658296,8.707271973552656e-05,0.775214451484772,2.2823457947631264e-05,23,46,10.466161991156076,5.892846477738694e-06,11.402036372690953,8.067329524022255e-06,1.5590164317213322,1.1678033384315603e-05,27,54,16.99278766170366,3.8751536756919363e-05,1.7563427267665228,1.7106620297636553e-06,6.244669925286739,3.1089486843648694e-05,1.3384362502138625,1.4091278646108438e-05,12.64878407419974,2.8168244232047254e-05,9,18,9
A1,complete,3,2.4634021010494114,4.11829218326245e-05,1.73703874559655,2.706194721657564e-05,3.5528086615964387,7.222006236385465e-05,17,340,3.0227481509291576,0.0003801515610750677,3.888309454515028,0.0004111683896580003,0.373920194636243,2.869995687896851e-06,7,14,10.78250201321372,0.00034164147630998934,14.428555440384846,0.0005023115804763353,1.7302896598521678,4.497226768654162e-05,9,18,5.01981337313305,9.728183712847168e-05,6.78122344615798,0.00020047234354525842,0.9766882841789123,2.9030930514694494e-05,23,46,9.936468277325245,0.0001586777516740871,10.827632422007602,0.0002107587362281514,1.6485660968500362,9.529305349503442e-06,27,54,14.428555440384846,0.0005023115804763353,1.7302896598521678,4.497226768654162e-05,6.973211126790069,0.0001286776052837547,1.4285224432852297,2.0797842780598826e-05,10.78250201321372,0.00034164147630998934,9,18,9
A2,complete,3,2.25636190688229,5.297418465179628e-05,1.592271662493166,3.522986846073675e-05,3.252920538924588,8.853417890619366e-05,17,340,2.700169288160167,0.0005849162970063737,3.902624957723542,0.0004276282667510076,0.2749917754048631,5.808674292096322e-05,7,14,10.173525581084457,0.00017695140816835782,13.621297066624791,0.00016604205108535327,1.717564117326458,8.955798753879426e-06,9,18,5.117002327690888,0.0001776664712193764,6.902711629285022,0.0001512045863042426,0.9016457728218508,2.0657905172735457e-05,23,46,9.524843330443517,8.498153646314389e-05,10.341633119764978,9.638876147177676e-05,1.5930504288883511,7.977895374472138e-06,27,54,13.621297066624791,0.00016604205108535327,1.717564117326458,8.955798753879426e-06,6.796134908085428,0.00016068191181860974,1.3846175370446299,9.17586380531245e-06,10.173525581084457,0.00017695140816835782,9,18,9
A3,complete,3,1.7240061842634014,2.171514949658943e-06,1.5918269914198497,9.057430616961197e-06,1.9783065015902535,1.044434863101571e-05,17,340,6.208730391911643,0.0003776106878264795,8.945182651185048,0.00045011905064184436,0.45886162381186457,3.6759551367733855e-06,7,14,6.843306443501916,4.684766985279348e-05,8.818918315490928,0.0001455228937220891,1.7840679250327618,5.946051310208431e-06,9,18,6.561425333800294,0.00016761976305610713,7.972280796191359,0.00022347821370613847,0.6933532760640279,1.625588635938671e-05,23,46,7.921240517533025,6.488594340436609e-05,8.655997194621715,0.00010210743249055639,1.4723919666162308,7.981385499182466e-06,27,54,8.818918315490928,0.0001455228937220891,1.7840679250327618,5.946051310208431e-06,6.765867847013087,0.00012920742170517552,1.2239972660363165,7.173014881432464e-06,6.843306443501916,4.684766985279348e-05,9,18,9
A4,preflight_simulation_prior,3,2.2471702398373545,8.392747297762066e-05,1.5881741184861078,5.834835115355874e-05,3.2371544980748364,0.0001224312533582767,17,340,2.7514232595579258,0.0008258819971521954,3.958667116273164,0.0012961696498791269,0.2708261232119373,2.5515302444452565e-05,7,14,10.155186180718216,0.0006376115389330185,13.572790168242449,0.001136785580226701,1.71676601395465,1.4134098681674615e-05,9,18,5.134946658362021,0.00028635828187760254,6.918959858233166,0.0005407621662348851,0.8980579618434844,4.150537324496969e-05,23,46,9.513521078318293,0.00021458963627101475,10.330370932547707,0.0002555188015662137,1.591439169180951,1.896426841370472e-05,27,54,13.572790168242449,0.001136785580226701,1.71676601395465,1.4134098681674615e-05,6.803231391466643,0.0002302007404479013,1.3829076920456511,2.5505451011874495e-05,10.155186180718216,0.0006376115389330185,9,18,9
B1,preflight_simulation_prior,3,2.451765046248949,3.303703256468387e-05,1.732918089115363,1.6262380290423634e-05,3.5317271535816297,5.5095366429039875e-05,17,340,3.0302336972349786,0.0002742703029569274,3.9292976832771855,0.00014002380148784316,0.38031503406307365,2.2441833985421196e-05,7,14,10.747860605924927,0.0003738455282308329,14.358776063001754,0.0005445429754424923,1.731276585673651,2.082690880813494e-05,9,18,5.028166964911496,4.1728279044209754e-05,6.791694265155598,8.830181201044034e-05,0.9768483736833703,5.824982478123788e-06,23,46,9.909697124982381,0.0002623314829202133,10.797215468485275,0.00031382234453073706,1.6499702364829607,7.1062357373336134e-06,27,54,14.358776063001754,0.0005445429754424923,1.731276585673651,2.082690880813494e-05,6.966003934338583,0.00012392429083690973,1.4291469542631159,8.489335784389051e-06,10.747860605924927,0.0003738455282308329,9,18,9
B2,preflight_simulation_prior,3,4.394321345890284,8.457511266425654e-05,3.9623619586701824,6.92297162883847e-05,5.202339198972439,0.00011239685518995101,17,340,5.677050407055224,0.0001659716804993959,8.336860375864282,0.0003087856268523073,0.3922259914299994,3.108733031411346e-05,7,14,7.183549878611814,0.00017644980184796248,9.405716707354001,0.0003275270951971989,1.8143237049889693,1.1766268724417571e-05,9,18,6.1174741757310835,5.238566631804562e-05,8.916625093802159,8.014180394861487e-06,1.1277703964488395,2.054376350604554e-05,23,46,9.448590170425907,0.00016065266412561242,10.12794573050808,0.00018903713623535904,1.686963896463837,8.993786240946527e-06,27,54,9.405716707354001,0.0003275270951971989,1.8143237049889693,1.1766268724417571e-05,8.377460849501436,0.00012477783062620517,1.4719474249777142,1.2883004769464715e-05,7.183549878611814,0.00017644980184796248,9,18,9
B3,complete,3,2.0049052553121847,9.077300944013282e-05,1.1992105362114203,6.525647004757084e-05,3.092761495582144,0.00015506859410337393,17,340,1.1954227382441935,0.002435590138172667,1.7318359677612503,0.003520221434008509,0.19539638640202908,0.00018020719437556257,7,14,12.649840997312765,0.0011438614478250814,16.99310264830893,0.0022935555197528866,1.7563175554767767,0.00015946975962750798,9,18,4.664094132534399,0.00018675560672757428,5.752329719187901,0.0009843356231028905,0.7751004288478427,0.00012145040037903621,23,46,10.465976740479876,0.0008079086215359187,11.401988160705882,0.0010957024539865149,1.558945121142525,2.1348909124705967e-05,27,54,16.99310264830893,0.0022935555197528866,1.7563175554767767,0.00015946975962750798,6.244288347100519,0.00016693339146942068,1.3383844480829996,2.562490127055779e-05,12.649840997312765,0.0011438614478250814,9,18,9
