split_seed,row,n_initializations,n_registered_cams,evaluation_mask_sha256,overall_reprojection_px_init_mean,overall_reprojection_px_init_std,cube_reprojection_px_init_mean,cube_reprojection_px_init_std,board_reprojection_px_init_mean,board_reprojection_px_init_std,e_e2e_translation_mm_init_mean,e_e2e_translation_mm_init_std,e_e2e_rotation_deg_init_mean,e_e2e_rotation_deg_init_std,e_cross_translation_mm_init_mean,e_cross_translation_mm_init_std,e_cross_rotation_deg_init_mean,e_cross_rotation_deg_init_std,cam_0_reprojection_px_init_mean,cam_0_reprojection_px_init_std,cam_1_reprojection_px_init_mean,cam_1_reprojection_px_init_std,cam_2_reprojection_px_init_mean,cam_2_reprojection_px_init_std,cam_3_reprojection_px_init_mean,cam_3_reprojection_px_init_std
20260729,A0,5,2,8122b1f886a40ab94fb5cb223c12e3926f43148841a3f28f62343eecf49b76a3,1.5447578627403018,7.508502123125515e-06,,,1.5447578627403018,7.508502123125515e-06,,,,,,,,,0.31623151066248756,3.1895430910392564e-07,0.4945961122099115,2.324538034624925e-06,1.6697845207033257,8.199478779803405e-06,,
20260729,A1,5,3,8122b1f886a40ab94fb5cb223c12e3926f43148841a3f28f62343eecf49b76a3,4.990646598846227,8.862796467516962e-06,7.993913377052455,1.5014899280611453e-05,1.5479252836463622,3.901285072229128e-06,15.697300752508403,0.00018098522049613284,8.166915458513218,4.393784139811763e-05,41.60806904627101,0.0009152868030998375,36.36966188792641,3.1731922838825524e-05,11.771158349712405,1.8897199759111307e-05,1.158879891769019,7.01275655951575e-05,1.7335098117052454,7.809293098775679e-06,1.0271323995284989,0.0001901546414779612
20260729,A2,5,3,8122b1f886a40ab94fb5cb223c12e3926f43148841a3f28f62343eecf49b76a3,4.811826128875537,8.261162027927567e-06,7.686738905368342,1.3839675360682274e-05,1.5529889989853343,4.492764045787587e-06,15.543955400058746,9.05839491143822e-05,8.160719526414802,8.559325317793801e-05,41.11182391447181,0.00014563255374337665,36.38737732905945,8.039365083936066e-05,11.339592003255202,2.4655582063933914e-05,0.8632537775888467,4.52780989465246e-05,1.7229308091967357,9.866572514314724e-06,0.8199367856719271,4.7560954708753756e-05
20260729,A3,5,3,8122b1f886a40ab94fb5cb223c12e3926f43148841a3f28f62343eecf49b76a3,4.950278838531782,2.424459993692907e-05,7.923341252407473,1.533561608872967e-05,1.5529219007306165,0.0001067249948299534,15.620324906045647,0.0005603998060885129,8.122034646606783,0.00013282131692714415,40.420580546150426,0.0002889770336066274,36.37602448406256,2.9275263238719383e-05,11.68425902898709,2.5935152568295523e-05,0.7462919694561718,6.405374029936716e-05,1.7409985222506896,0.0001223312472939302,1.036278063214767,2.856697908161444e-05
20260729,B1,5,3,8122b1f886a40ab94fb5cb223c12e3926f43148841a3f28f62343eecf49b76a3,4.960968908973396,1.3040388708086147e-05,7.938181304172533,2.278292316622258e-05,1.562946808138112,2.5270919296599866e-06,15.609313145842847,8.27097094556616e-05,8.113526103615946,2.8046078418042403e-05,40.485167706017094,0.0001011139264546768,36.37640193261771,2.0186064299383275e-05,11.707336390428475,3.35110678615974e-05,0.7749408756509812,8.78536020347438e-06,1.7465731743277964,3.0988564133262913e-06,1.0363285990916364,4.066028235509881e-05
20260729,B2,5,3,8122b1f886a40ab94fb5cb223c12e3926f43148841a3f28f62343eecf49b76a3,7.8937729958285106,1.6353331041593346e-05,7.8937729958285106,1.6353331041593346e-05,,,15.199838469918305,0.0002793075970311982,8.159148297204068,0.0001614965277803128,40.23239712342602,0.00026223641459302923,36.37089801295569,1.8641057242398887e-05,15.432409321609475,1.14952402580909e-05,0.7868947462457125,1.5316944134695633e-06,1.991760630812259,0.00014047917657817113,1.0362369416206825,7.671865680707263e-05
20260729,B3,5,2,8122b1f886a40ab94fb5cb223c12e3926f43148841a3f28f62343eecf49b76a3,1.544747677433743,5.390992398223834e-06,,,1.544747677433743,5.390992398223834e-06,,,,,,,,,0.3162327159208002,9.108520072610196e-06,0.4946362575267206,2.959483772189988e-05,1.669772820125461,5.7345229611794715e-06,,
20260730,A0,5,2,0e3563b2c70b4624fe12ce8922b9515703f8862481158480d0207bd8cb182173,1.5268969413815119,2.9180491339810362e-05,,,1.5268969413815119,2.9180491339810362e-05,,,,,,,,,0.30818055407403644,1.208688010576707e-07,0.4511203514574455,1.9491945481083893e-06,1.6479870125171339,3.1734832581995377e-05,,
20260730,A1,5,3,0e3563b2c70b4624fe12ce8922b9515703f8862481158480d0207bd8cb182173,4.460078498376646,9.583351214173698e-06,7.13658168980133,1.5482004847796743e-05,1.5296933748334136,6.360597768194611e-06,16.188420219200495,0.00010038236307030725,7.330231988983861,5.195093670742085e-05,37.837988210890536,0.0002972295005364198,33.725076417319926,4.064896081283571e-05,10.373900121618185,1.6406531348197146e-05,0.9775999002914147,5.997564379120272e-05,1.7388484371942698,1.381227525059984e-05,1.0235867247527037,0.0001798472199010386
20260730,A2,5,3,0e3563b2c70b4624fe12ce8922b9515703f8862481158480d0207bd8cb182173,4.324246272553121,9.760247231128749e-06,6.901253954539113,1.037799644747967e-05,1.5297533732177815,1.742157770956083e-05,16.025055747999694,0.00010106728521617861,7.3246481971766375,2.495927153090061e-05,37.04381141828203,0.00010644804888626462,33.737857774555884,1.8056451868520965e-05,10.028566152861366,6.854280944262348e-06,0.7822445757022368,2.825222607145421e-05,1.753353153880262,2.6247749683301343e-05,0.8437276826361633,2.108023675336386e-05
