row,target_set,unified,fk_to_cube,fk_to_board,status,converged_runs,total_runs,n_registered_cams,heldout_reprojection_mean_px,heldout_reprojection_std_px,heldout_cube_reprojection_mean_px,heldout_cube_reprojection_std_px,heldout_board_reprojection_mean_px,heldout_board_reprojection_std_px,heldout_eih_reprojection_mean_px,heldout_eih_reprojection_std_px,heldout_e2h_reprojection_mean_px,heldout_e2h_reprojection_std_px,train_reprojection_mean_px_diagnostic,train_reprojection_std_px_diagnostic,heldout_e2e_translation_mean_mm,heldout_e2e_translation_std_mm,heldout_e2e_rotation_mean_deg,heldout_e2e_rotation_std_deg,heldout_cross_translation_mean_mm,heldout_cross_translation_std_mm,heldout_cross_rotation_mean_deg,heldout_cross_rotation_std_deg,heldout_cam_0_reprojection_mean_px,heldout_cam_0_reprojection_std_px,heldout_cam_1_reprojection_mean_px,heldout_cam_1_reprojection_std_px,heldout_cam_2_reprojection_mean_px,heldout_cam_2_reprojection_std_px,heldout_cam_3_reprojection_mean_px,heldout_cam_3_reprojection_std_px
A0,board,seq,—,estimated,converged,3,3,2,1.6277322065038569,1.551839894870486e-05,,,1.6277322065038569,1.551839894870486e-05,1.7602495200217039,1.6928257860264904e-05,0.37190947248762013,4.4245889588472805e-07,1.8534799518309342,1.8695820259032592e-05,,,,,,,,,0.3162308281242941,8.69529445509841e-08,0.4945973211068359,1.1088576472320816e-06,1.7602495200217039,1.6928257860264904e-05,,
A1,cube+board,seq,estimated,estimated,converged,3,3,3,4.991367595024353,1.0342930190322766e-05,7.962653643135577,1.4685091893684532e-05,1.641753664776192,1.828780996387353e-05,1.8212755306265398,1.2404557580000434e-05,8.093010356873153,1.5908578902409e-05,5.030661939304515,6.738301820395761e-06,14.389603743114568,2.9451718333271612e-05,8.178248021438788,8.468680486085478e-05,38.25641833237986,0.0006560357581249348,36.39250356030747,7.079804197366982e-05,11.714855120362088,1.4193656177709273e-05,1.2548332573493501,0.00020533622851781188,1.8212755306265398,1.2404557580000434e-05,0.9954806075718404,0.00015931566478553458
A2,cube+board,U,estimated,estimated,converged,3,3,3,4.8206563511766225,7.94450285187485e-06,7.673547598399451,5.074985114053693e-06,1.6318377669007738,2.3268882041580675e-05,1.7867032072933744,5.103669467386957e-05,7.804396215722878,8.52243281003514e-06,4.888174929809364,1.0516495922225746e-05,14.448470383407491,0.00018588619765902631,8.176159753178059,0.00010844745076724688,38.788651077873176,7.556495474162637e-05,36.40420933605711,7.473004402488855e-05,11.327827540570402,1.1169590072713682e-05,0.8132956641658696,1.0485399999422123e-05,1.7867032072933744,5.103669467386957e-05,0.7500432318776561,5.5653596621685945e-05
A3,cube+board,U,FK-fixed,estimated,converged,3,3,3,5.026229004800143,1.005806514677026e-05,7.942563853615479,9.341748606157575e-06,1.852194392651044,3.2239656396199893e-05,2.056984063016413,5.769438331601732e-05,8.048881976361114,1.0504437652253445e-05,5.035185302064722,2.9083168734480036e-06,14.547790967888995,0.0002410387672821298,8.16546226459714,0.0002228504957180893,34.59880279945594,0.0001160614151609839,36.377006011825564,3.671071619009599e-05,11.674438274294525,1.281126643503042e-05,0.8668889978254191,3.698283013803855e-05,2.056984063016413,5.769438331601732e-05,0.9757072440963315,3.733305691170748e-05
B1,cube+board,seq,FK-fixed,estimated,converged,3,3,3,5.060487796803985,1.2513528674577295e-05,7.981013095113919,1.7284724922237404e-05,1.903217196081424,1.1439782530458089e-05,2.0876304020221124,5.671525034137644e-06,8.095722829624735,2.00464662349334e-05,5.054666018847119,1.0524113858753776e-05,14.512280552363743,1.1596096632514904e-05,8.153260640263548,1.609357866103021e-05,34.62119016090425,6.507391070206928e-05,36.37649438926123,1.7819700400112118e-05,11.731953291578947,2.8272746475243085e-05,1.0662718722128328,2.9152880771267685e-05,2.0876304020221124,5.671525034137644e-06,0.9757507031807018,1.3541996090748373e-05
B2,cube,U,FK-fixed,—,converged,3,3,3,7.843830904875689,1.4611463753926072e-05,7.843830904875689,1.4611463753926072e-05,,,1.968839273721412,7.596479995695732e-05,9.374415939172108,1.0529805132855838e-05,7.862578248312239,9.731837773636616e-06,15.671117702679993,0.0003025652172555414,8.152645784962546,9.156818342859556e-05,34.508165962380545,8.434099803365748e-05,36.37237816123238,1.528080481723835e-05,15.335737311304937,1.8982794146479523e-05,0.8552540496229959,7.428244752652687e-07,1.968839273721412,7.596479995695732e-05,0.9757029750659045,3.401282163643693e-05
B3,board,U,—,estimated,converged,3,3,2,1.627738905797291,1.8689046762143366e-05,,,1.627738905797291,1.8689046762143366e-05,1.7602564683889732,1.9759982177406725e-05,0.37191884762174804,1.748807363748989e-05,1.8534874676824267,5.03908836461377e-06,,,,,,,,,0.3162347242630419,2.608656697854725e-06,0.4946170179094533,4.508712860217884e-05,1.7602564683889732,1.9759982177406725e-05,,
