method,status,heldout_transfer_coordinate_rmse_px,heldout_e_cross_translation_rmse_mm,heldout_e_cross_rotation_rmse_deg,train_reprojection_rmse_px,runtime_s
01_pnp_mean,closed_form,37.93214554687943,67.93786477024167,59.60058362229245,16.791222483698643,0.007981167000252753
02_pnp_robust_se3,closed_form,29.80259670944816,57.16177283328837,61.64031718829687,9.307023420299991,0.030538500010152347
03_pose_consistency,converged,29.86093326455115,57.25949501902246,61.60193596390556,7.440055852188469,167.01649254199583
04_direct_reprojection,converged,29.48673453361167,56.60959949928335,61.69507279660646,5.513939090027323,265.37588620799943
