row,preflight_std_scale,approx_fk_cost_weight_multiplier,translation_std_mm,rotation_std_deg,converged_runs,total_runs,heldout_overall_rmse_px,heldout_board_rmse_px,heldout_cube_rmse_px,delta_vs_A2_overall_px,delta_vs_A2_board_px,delta_vs_A2_cube_px,train_overall_rmse_px,final_visual_robust_cost,final_fk_robust_cost,final_fk_robust_cost_fraction,mean_nfev,rolled_back_runs,table1_json
A4,0.25,16.0,0.5,0.075,3,3,3.8684210755035515,3.9870121142485107,3.4913703069852793,-0.02169852972918429,0.0029650910177769774,-0.10444665203601744,3.7560993753127714,24023.214949944337,158.13732409462173,0.006539639400745776,21.666666666666668,3,CP_result/session04/fk_factor_sensitivity/scale_0.25x/table1_methods.json
A4,0.5,4.0,1.0,0.15,3,3,3.884094864544014,3.990019311611514,3.5498845238777363,-0.006024740688721941,0.005972288380780455,-0.04593243514356038,3.7484581166041,23986.8142184943,65.4634445507525,0.002721714985493185,21.666666666666668,3,CP_result/session04/fk_factor_sensitivity/scale_0.5x/table1_methods.json
A4,1.0,1.0,2.0,0.3,3,3,3.8899226496915094,3.9884220099086725,3.580489271570553,-0.0001969555412264512,0.004374986677938786,-0.015327687450743532,3.744089941213572,23960.9353170481,29.27931754380906,0.0012204691783619184,21.666666666666668,3,CP_result/session04/fk_factor_sensitivity/scale_1x/table1_methods.json
A4,2.0,0.25,4.0,0.6,3,3,3.8902049122244793,3.985808698510161,3.5903644643421675,8.530699174347234e-05,0.0017616752794271662,-0.005452494679129227,3.7425889046715315,23952.26635991105,11.234387956459301,0.0004688124692071661,22.0,3,CP_result/session04/fk_factor_sensitivity/scale_2x/table1_methods.json
A4,4.0,0.0625,8.0,1.2,3,3,3.890180675953465,3.984597802952214,3.5942615686871218,6.107072072936148e-05,0.0005507797214803212,-0.0015553903341749553,3.7422183409947536,23950.93397961909,3.365738533297497,0.00014050665529395068,21.666666666666668,3,CP_result/session04/fk_factor_sensitivity/scale_4x/table1_methods.json
