arm,anchor_lambda_px_per_mm,correction,dof,n_folds,rmse_mm,mean_mm,std_mm,median_mm,max_mm
A3,,none,0,13,4.374711090002472,4.025943439648541,1.7116882139401093,3.749172567062496,7.431770597555391
A3,,offset,3,13,3.954524907039624,3.7073911261128205,1.3760516990348353,3.975074583829971,5.564887345157038
A3,,se3,6,13,3.534556007295773,3.3518438035430123,1.1217081997386622,3.3991634849159458,5.523674569518687
A3,,ridge,9,13,3.2493670689798497,3.097046270587683,0.9832043260734888,3.0292166758297285,5.167487549730633
A2,0.0,none,0,13,5.0788150804081855,4.512803099913043,2.3300151935978515,3.769047757327968,9.633729761402122
A2,0.0,offset,3,13,4.731402310457954,4.403334720030413,1.731130025960369,4.531064300187187,7.697673805284385
A2,0.0,se3,6,13,3.8039082910154947,3.533663151698293,1.408170095118522,3.542749866384027,6.352965785091023
A2,0.0,ridge,9,13,3.3989658476045475,3.226627680040401,1.0685703755856202,3.1054086972852444,4.747562097220999
