gotoj -34.81, 1.45, -98.91, 41.41, -86.58, -195.57
gotoj -10.57, -6.02, -90.26, 36.45, -76.16, -207.54
gotoj -13.99, -32.69, -69.75, 44.65, -93.18, -209.30
gotoj -13.45, -39.93, -56.38, 36.16, -106.57, -234.69
gotoj -2.29, -36.27, -41.80, 23.54, -114.32, -246.36
gotoj 3.13, -36.93, -40.68, 26.99, -115.91, -191.03
gotoj 18.07, -55.05, -9.49, 32.60, -132.58, -316.48
gotoj 44.46, -53.95, -18.41, -3.43, -130.64, -135.72
gotoj 50.78, -70.35, -11.29, -15.63, -134.89, -126.43
gotoj 67.68, -54.12, -52.69, -30.33, -107.50, -128.62
gotoj 63.47, -57.52, -14.27, -20.41, -134.46, -126.35
gotoj 85.25, -30.84, -75.09, -37.59, -100.62, -104.96
gotoj 92.98, -23.45, -104.18, -43.83, -76.21, -141.80
gotoj 83.96, 6.48, -116.55, -33.32, -59.86, -173.62
gotoj 53.52, 36.71, -129.33, -3.96, -43.70, -220.09
gotoj 104.95, -27.27, -72.90, 83.45, -145.02, -302.37
gotoj 145.08, -16.28, -118.58, 66.05, -155.11, -326.56
gotoj -21.40, -2.20, -91.48, -205.92, -181.79, -321.51
gotoj -36.99, -2.18, -92.48, -192.30, -172.65, -297.86
gotoj -55.87, -3.10, -91.46, -232.50, -114.71, -328.53
gotoj -75.87, -3.10, -91.46, -226.50, -114.71, -328.53
gotoj 116.38, -9.04, -78.48, -230.23, -165.61, -257.45
