gotoj 4.20, -14.70, -127.92, 56.51, -50.04, 52.42
gotoj 58.11, -8.22, -139.52, -35.97, -65.24, 176.41
gotoj 10.95, -47.60, -85.65, 31.94, -110.67, 203.85
gotoj 19.59, -39.21, -84.98, 15.52, -114.78, 92.64
gotoj -9.23, -29.62, -112.89, 99.25, -44.41, 122.81
gotoj 1.96, -26.29, -90.97, 43.98, -67.94, 73.63
gotoj 27.20, -42.46, -94.34, -31.61, -73.27, 234.86
gotoj 6.72, -55.97, -49.12, 38.70, -136.06, 219.41
gotoj 37.37, -48.27, -85.03, -43.68, -67.58, 155.36
gotoj 12.83, -30.28, -89.90, 82.87, -26.60, 160.41
gotoj 39.48, -58.15, -46.40, -25.15, -106.62, 228.92
gotoj 30.15, -44.57, -70.57, 44.97, -51.58, 96.24
gotoj 50.08, -53.11, -60.09, -35.72, -89.80, 150.62
gotoj 29.73, -62.51, -44.73, 55.64, -118.33, 236.50
gotoj 36.09, -61.85, -30.45, 42.44, -135.77, 128.42
gotoj 39.13, -25.46, -92.11, 45.31, -44.17, 101.63
gotoj 63.71, -47.05, -79.42, -9.62, -92.51, 256.82
gotoj 37.96, -44.55, -70.12, 57.73, -107.80, 234.44
gotoj 75.50, -36.92, -105.53, -23.86, -74.81, 182.78
gotoj 43.76, -41.72, -91.63, 34.85, -98.60, 106.57
gotoj 66.26, -28.40, -100.88, -8.00, -90.06, 259.26
gotoj 29.45, -15.27, -125.11, 66.32, -37.25, 66.18
gotoj 70.42, -18.94, -122.33, -26.94, -74.50, 179.31
gotoj 7.77, -55.94, -65.14, 32.15, -122.38, 208.56
gotoj 15.39, -48.93, -65.41, 12.75, -125.22, 91.21
