method,n_fixed_obs,n_grip_obs,n_sets,consistency_trans_rmse_mm,consistency_rot_rmse_deg,grip_align_trans_rmse_mm,cube_pos_err_vs_fk_mm,optimizer_cost,train_sets,test_sets,n_test_sets,downstream_trans_rmse_mm,downstream_fk_trans_rmse_mm,downstream_se3_trans_rmse_mm,fk_rigid_angle_deg,fk_rigid_trans_mm,note
independent,286,75,9,15.675621562207006,8.973724482355513,15.559648524049175,0.0,,"1,2,3,5,7,8,9,10,11","0,4,6,12",4,13.445522801742138,2.707107322499342,2.7847479387847374,3.241110377026114,29.913138818710944,
unified_joint,286,75,9,15.296482816576649,7.469225451931518,14.26113579382776,4.4629861846863115,3.3480565454797158,"1,2,3,5,7,8,9,10,11","0,4,6,12",4,11.065979070600552,2.6748516440614662,2.7245973303965196,2.7271714128855638,27.255911058477874,
joint_fk_fixed,286,75,9,15.452921150902505,8.543525548701924,15.55964852551352,0.0,3.990736261160256,"1,2,3,5,7,8,9,10,11","0,4,6,12",4,10.789828213781975,2.5288064461349724,2.510212952824199,2.7401361593395626,26.405133411727377,
