method,label,targets,optimization,fk_to_cube,converged_runs,total_runs,train_rmse_px_mean,train_rmse_px_std,heldout_rmse_px_mean,heldout_rmse_px_std,train_observations,train_corners,heldout_observations,heldout_corners,solver_stages,prune_refit_attempts,prune_refit_accepted,prune_refit_rollbacks,pruned_frames_considered,seed_dispersion_translation_max_mm,seed_dispersion_rotation_max_deg,representative_seed,fixed_camera_ids,has_board_pose,cube_pose_count
A0,baseline,board,sequential_frozen_stage,—,3,3,3.820219671009355,4.0505977758335515e-06,4.052992643286938,7.118231272500229e-05,60,2962,17,703,6,0,0,0,0,0.005769547231863889,0.00052611400943091,0,"0,1,3",True,0
A1,+cube,cube+board,sequential_frozen_stage,estimated,3,3,3.7923009006749933,2.990998751708949e-06,4.083686025792366,0.00012407471018153587,119,3686,35,939,6,3,0,3,3,0.016266637206909858,0.0012440427553473393,0,"0,1,3",True,9
A2,+unified,cube+board,unified_joint_optimization,estimated,3,3,3.742123998438358,8.982113032319778e-06,3.8901196052327363,3.692983197437183e-05,119,3686,35,939,3,3,0,3,6,0.010199926446693946,0.0008941033581881814,0,"0,1,3",True,9
A3,raw-FK hard fixed,cube+board,unified_joint_optimization,raw-FK-fixed,3,3,5.15870364397227,2.997193775540607e-05,4.783509265154736,4.5956472302934526e-05,119,3686,35,939,3,0,0,0,0,0.04255516782384694,0.003749120309528465,0,"0,1,3",True,9
A4,corrected-FK soft factor,cube+board,unified_joint_optimization,corrected-FK-factor,3,3,3.744089941213572,8.278037847292352e-06,3.8899226496915094,5.466269764473223e-05,119,3686,35,939,3,3,0,3,6,0.003140279723301765,0.00031342086557352715,0,"0,1,3",True,9
A5,vision-aligned FK hard fixed,cube+board,unified_joint_optimization,vision-aligned-FK-fixed,3,3,3.9648081182183135,2.9974810646907824e-05,3.7270480834529813,9.754532892971977e-05,119,3686,35,939,3,3,0,3,6,0.03789309060298407,0.0031560281009095415,0,"0,1,3",True,9
B1,−Unified,cube+board,sequential_frozen_stage,corrected-FK-factor,3,3,3.7886811462965597,1.0901213911634748e-05,4.078290079948464,4.745521014774634e-05,119,3686,35,939,12,0,0,0,0,0.005754665155754229,0.0004727218381536414,0,"0,1,3",True,9
B2,−board,cube,unified_joint_optimization,corrected-FK-factor,3,3,3.02686596766937,1.9824758849318102e-05,4.482739932193982,0.00019028837239304657,59,724,18,236,3,3,0,3,9,0.008906557771812974,0.0007612168506855302,0,"0,1,3",False,9
B3,−cube,board,unified_joint_optimization,—,3,3,3.820204078672271,2.4690583160247196e-05,4.053054677354136,0.0001666622864773513,60,2962,17,703,3,0,0,0,0,0.050741292083290285,0.004326355919575116,0,"0,1,3",True,0
