method,soft_l1_heldout_overall_rmse_px,linear_heldout_overall_rmse_px,soft_l1_change_vs_linear_percent,soft_l1_fixed_to_fixed_cube_transfer_rmse_px,linear_fixed_to_fixed_cube_transfer_rmse_px,soft_l1_gripper_to_fixed_cube_transfer_rmse_px,linear_gripper_to_fixed_cube_transfer_rmse_px
A0,5.877291394103683,5.72818571918958,2.6030174687701684,11.470866253195716,11.508697210374557,9.477786543955864,9.754670415827137
A1,6.3602191443839295,6.115177216477981,4.007110820037352,10.78926255086221,9.598646827917795,9.709755950161528,9.267559621261654
A2,6.214256745090766,6.0791205646302116,2.2229560842535196,9.60995630080683,8.930629881143297,9.249845262339093,8.877262826212407
A3,5.496807980617372,5.448692489349874,0.8830649070679883,7.116277921329371,6.580315527692679,8.68818606364867,8.424445487031148
A4,6.190400629861816,6.031993571633123,2.6261145067136686,9.579102775351862,8.983218878601685,9.259179874419985,8.887056685145716
B1,6.33090568164359,6.066826119239264,4.352845412313219,10.737457920298091,9.68378610030353,9.70379064981116,9.261269428569198
B2,6.6974991088253075,6.774533103934883,-1.1371115016742823,6.934043871117488,9.035278493987073,8.018822867816167,9.398632771311803
B3,5.877159697406401,5.728169303515511,2.601012400234944,11.471104726174405,11.508278741128123,9.478649958249155,9.754592382425967
