event_id,camera_id,set_idx,is_gripper_camera,detected_marker_ids,marker_ids,observed_faces,observed_face_count,noncoplanar_face_count,is_planar,quality_tier,pnp_rmse_px,pnp_inlier_fraction,pnp_solver,positive_depth_candidate_count,pnp_candidate_count,pnp_accepted,detection_method,redetection_attempted,redetection_selected,recovered_core_observation,redetection_max_rmse_px,detection_candidate_count,baseline_detected_marker_ids,baseline_marker_ids,baseline_quality_tier,baseline_pnp_rmse_px,legacy_policy_selected,core_multiface_selected,selected_for_calibration,selection_reason,status
14,2,2,True,,,,0,0,,none,,,,0,0,False,default,True,False,False,3.0,5,,,none,,False,False,False,pnp_not_accepted,no_markers_detected
15,2,2,True,0;1;5,0;1;5,+Z;-Y,2,2,False,nonplanar_multiface,17.185343879644627,0.75,RANSAC-EPNP+LM,1,1,False,default,True,False,False,3.0,5,0;1;5,0;1;5,nonplanar_multiface,17.185343879644627,False,False,False,pnp_not_accepted,pnp_rmse_rejected
16,2,2,True,0;4;5,0;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.2998477363233065,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;4;5,0;4;5,nonplanar_multiface,1.2998477363233065,True,True,True,selected,accepted
17,2,2,True,,,,0,0,,none,,,,0,0,False,default,True,False,False,3.0,5,,,none,,False,False,False,pnp_not_accepted,no_markers_detected
18,0,3,False,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.3464348059171247,0.9375,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,1.3464348059171247,True,True,True,selected,accepted
18,1,3,False,3;4,3;4,+Y;-X,2,2,False,nonplanar_multiface,0.49553882873392774,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,3;4,3;4,nonplanar_multiface,0.49553882873392774,True,True,True,selected,accepted
18,2,3,True,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.6631876841301063,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,1.6631876841301063,True,True,True,selected,accepted
18,3,3,False,2;3,2;3,+X;+Y,2,2,False,nonplanar_multiface,1.5800119382748248,0.875,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;3,2;3,nonplanar_multiface,1.5800119382748248,True,True,True,selected,accepted
19,2,3,True,0,0,+Z,1,0,True,single_marker,0.4649187734750372,1.0,IPPE,2,2,True,up2_unsharp_relaxed,True,True,False,3.0,5,,,none,,True,False,False,noncore_single_marker,accepted
20,2,3,True,,,,0,0,,none,,,,0,0,False,default,True,False,False,3.0,5,,,none,,False,False,False,pnp_not_accepted,no_markers_detected
21,2,3,True,4,4,-X,1,0,True,single_marker,1.372208599136266,1.0,IPPE,2,2,True,up2_subpixel,True,True,False,3.0,5,4,4,single_marker,2.237387514184878,True,False,False,noncore_single_marker,accepted
22,2,3,True,1;3,1;3,+Y;+Z,2,2,False,nonplanar_multiface,0.8304217684160292,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;3,1;3,nonplanar_multiface,0.8304217684160292,True,True,True,selected,accepted
23,2,3,True,,,,0,0,,none,,,,0,0,False,default,True,False,False,3.0,5,,,none,,False,False,False,pnp_not_accepted,no_markers_detected
24,0,4,False,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.9539561664461841,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,0.9539561664461841,True,True,True,selected,accepted
24,1,4,False,2;3,2;3,+X;+Y,2,2,False,nonplanar_multiface,0.7535819018911403,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;3,2;3,nonplanar_multiface,0.7535819018911403,True,True,True,selected,accepted
24,2,4,True,0;1;3;4,0;1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.9348145858503911,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3;4,0;1;3;4,nonplanar_multiface,0.9348145858503911,True,True,True,selected,accepted
24,3,4,False,0;2;5,0;2;5,+X;+Z;-Y,3,3,False,nonplanar_multiface,1.9600238969093897,0.9166666666666666,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;2;5,0;2;5,nonplanar_multiface,1.9600238969093897,True,True,True,selected,accepted
25,2,4,True,2;3,2;3,+X;+Y,2,2,False,nonplanar_multiface,0.7251502887485971,1.0,RANSAC-EPNP+LM,1,1,True,native_relaxed_subpixel,True,True,True,3.0,5,3,3,single_marker,0.3228634329467372,True,True,True,selected,accepted
26,2,4,True,0;1;4,0;1;4,+Z;-X,2,2,False,nonplanar_multiface,1.3711958348397046,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4,0;1;4,nonplanar_multiface,1.3711958348397046,True,True,True,selected,accepted
27,2,4,True,0;1;2;3,0;1;2;3,+X;+Y;+Z,3,3,False,nonplanar_multiface,2.447340486352568,0.9375,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2;3,0;1;2;3,nonplanar_multiface,2.447340486352568,True,True,True,selected,accepted
28,2,4,True,,,,0,0,,none,,,,0,0,False,default,True,False,False,3.0,5,,,none,,False,False,False,pnp_not_accepted,no_markers_detected
29,2,4,True,3;4,3;4,+Y;-X,2,2,False,nonplanar_multiface,0.9001030450855352,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,3;4,3;4,nonplanar_multiface,0.9001030450855352,True,True,True,selected,accepted
30,0,5,False,1;2;3,1;2;3,+X;+Y;+Z,3,3,False,nonplanar_multiface,1.1317733156194205,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;2;3,1;2;3,nonplanar_multiface,1.1317733156194205,True,True,True,selected,accepted
30,1,5,False,2;5,2;5,+X;-Y,2,2,False,nonplanar_multiface,1.0400072065933086,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;5,2;5,nonplanar_multiface,1.0400072065933086,True,True,True,selected,accepted
30,2,5,True,2;3,2;3,+X;+Y,2,2,False,nonplanar_multiface,0.8803747155532539,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;3,2;3,nonplanar_multiface,0.8803747155532539,True,True,True,selected,accepted
30,3,5,False,0;1;4;5,0;1;4;5,+Z;-X;-Y,3,3,False,nonplanar_multiface,1.4140138085963518,0.9375,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4;5,0;1;4;5,nonplanar_multiface,1.4140138085963518,True,True,True,selected,accepted
31,2,5,True,2;5,2;5,+X;-Y,2,2,False,nonplanar_multiface,1.0825645261013204,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;5,2;5,nonplanar_multiface,1.0825645261013204,True,True,True,selected,accepted
32,2,5,True,0;1;3,0;1;3,+Y;+Z,2,2,False,nonplanar_multiface,1.663823324821234,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3,0;1;3,nonplanar_multiface,1.663823324821234,True,True,True,selected,accepted
33,2,5,True,0;1;2;5,0;1;2;5,+X;+Z;-Y,3,3,False,nonplanar_multiface,1.1508473667862722,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2;5,0;1;2;5,nonplanar_multiface,1.1508473667862722,True,True,True,selected,accepted
34,2,5,True,,,,0,0,,none,,,,0,0,False,default,True,False,False,3.0,5,,,none,,False,False,False,pnp_not_accepted,no_markers_detected
35,2,5,True,0;1;3,0;1;3,+Y;+Z,2,2,False,nonplanar_multiface,0.9727008933333217,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;3,0;1;3,nonplanar_multiface,0.9727008933333217,True,True,True,selected,accepted
36,0,6,False,4;5,4;5,-X;-Y,2,2,False,nonplanar_multiface,1.4252881269746827,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,4;5,4;5,nonplanar_multiface,1.4252881269746827,True,True,True,selected,accepted
36,1,6,False,1;3;4,1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,1.074350633319375,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;3;4,1;3;4,nonplanar_multiface,1.074350633319375,True,True,True,selected,accepted
36,2,6,True,0;1;4,0;1;4,+Z;-X,2,2,False,nonplanar_multiface,0.8921798308906206,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;4,0;1;4,nonplanar_multiface,0.8921798308906206,True,True,True,selected,accepted
36,3,6,False,0;1;2;5,0;1;2;5,+X;+Z;-Y,3,3,False,nonplanar_multiface,1.0240537455861747,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2;5,0;1;2;5,nonplanar_multiface,1.0240537455861747,True,True,True,selected,accepted
