observation_id,target,event_id,camera_id,set_idx,capture_block,image_path,corner_count,marker_ids,observed_faces,quality_tier,pnp_rmse_px,pnp_inlier_fraction,detection_method,standard_selected,standard_disposition,standard_reason,strict_selected,strict_disposition,strict_reason
board:E0007:cam2,board,7,2,1,A_placement,cam2/rgb_00007.jpg,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
board:E0008:cam2,board,8,2,1,A_placement,cam2/rgb_00008.jpg,54,"[0,1,2,3,4,5,6,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56,57,58]",[],,,,,True,selected,selected,True,selected,selected
cube:E0008:cam2,cube,8,2,1,A_placement,cam2/rgb_00008.jpg,16,"[0,1,3,4]","[""+Y"",""+Z"",""-X""]",nonplanar_multiface,2.3662606289353056,0.9375,default,True,selected,selected,False,quarantine,pnp_rmse_above_2px
board:E0009:cam2,board,9,2,1,A_placement,cam2/rgb_00009.jpg,40,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]",[],,,,,True,selected,selected,True,selected,selected
cube:E0009:cam2,cube,9,2,1,A_placement,cam2/rgb_00009.jpg,8,"[1,3]","[""+Y"",""+Z""]",nonplanar_multiface,0.6697602664039123,1.0,up2_unsharp_relaxed,True,recovered,selected,True,recovered,selected
board:E0010:cam2,board,10,2,1,A_placement,cam2/rgb_00010.jpg,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
board:E0011:cam2,board,11,2,1,A_placement,cam2/rgb_00011.jpg,60,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
board:E0012:cam0,board,12,0,2,A_placement,cam0/rgb_00012.jpg,51,"[4,5,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59]",[],,,,,True,selected,selected,True,selected,selected
cube:E0012:cam0,cube,12,0,2,A_placement,cam0/rgb_00012.jpg,12,"[0,1,2]","[""+X"",""+Z""]",nonplanar_multiface,0.8166036341762404,1.0,default,True,selected,selected,True,selected,selected
board:E0012:cam1,board,12,1,2,A_placement,cam1/rgb_00012.jpg,20,"[0,1,2,10,11,12,15,20,21,22,23,24,25,30,31,34,35,40,41,52]",[],,,,,True,selected,selected,True,selected,selected
