observation_id,target,event_id,camera_id,set_idx,capture_block,image_path,corner_count,marker_ids,observed_faces,quality_tier,pnp_rmse_px,pnp_inlier_fraction,detection_method,standard_selected,standard_disposition,standard_reason,strict_selected,strict_disposition,strict_reason
cube:E0001:cam2,cube,1,2,0,A_placement,cam2/rgb_00001.jpg,4,[1],"[""+Z""]",single_marker,0.29060002614711333,1.0,default,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0004:cam2,cube,4,2,0,A_placement,cam2/rgb_00004.jpg,4,[3],"[""+Y""]",single_marker,0.34946140891032446,1.0,up2_subpixel,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0005:cam2,cube,5,2,0,A_placement,cam2/rgb_00005.jpg,4,[3],"[""+Y""]",single_marker,0.356000858342897,1.0,native_relaxed_subpixel,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0007:cam2,cube,7,2,1,A_placement,cam2/rgb_00007.jpg,4,[3],"[""+Y""]",single_marker,0.09905099399616611,1.0,up2_subpixel,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0010:cam2,cube,10,2,1,A_placement,cam2/rgb_00010.jpg,4,[3],"[""+Y""]",single_marker,0.12532610774183175,1.0,up2_unsharp_relaxed,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0019:cam2,cube,19,2,3,A_placement,cam2/rgb_00019.jpg,4,[0],"[""+Z""]",single_marker,0.4649187734750372,1.0,up2_unsharp_relaxed,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0021:cam2,cube,21,2,3,A_placement,cam2/rgb_00021.jpg,4,[4],"[""-X""]",single_marker,1.372208599136266,1.0,up2_subpixel,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0040:cam2,cube,40,2,6,A_placement,cam2/rgb_00040.jpg,4,[3],"[""+Y""]",single_marker,1.0839401574101044,1.0,native_relaxed_subpixel,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0069:cam2,cube,69,2,11,A_placement,cam2/rgb_00069.jpg,4,[4],"[""-X""]",single_marker,0.10428797826568643,1.0,up2_unsharp_relaxed,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
