method,status,translation_rms_mm,rotation_rms_deg,train_coordinate_rmse_px,views,runtime_s
Tsai-Lenz,converged,1557.6214161520757,63.32309654929072,307.5652526920617,251,0.1760042079986306
Park-Martin,converged,173.2694121043819,2.4656395730974525,37.70538139847232,251,0.1710845409979811
Horaud,converged,172.1610291838825,2.1531995227656893,36.43264077146947,251,0.1781682080036262
Daniilidis,converged,367.14781757187257,3.338544801679881,73.91856683095328,251,0.17671937499835622
Joint corner reprojection (compatible),converged,0.9473706578282644,0.06255068438763264,0.24066119797667335,251,13.695239541993942
