system,label,initialization_markers,objective_markers,initialization_state_sha256,converged_runs,total_runs,n_registered_fixed_cameras,own_heldout_overall_rmse_px_mean,own_heldout_overall_rmse_px_std,common_target_overall_rmse_px_mean,common_target_overall_rmse_px_std,common_target_board_rmse_px_mean,common_target_board_rmse_px_std,common_target_cube_rmse_px_mean,common_target_cube_rmse_px_std,e_cross_translation_rmse_mm_mean,e_cross_translation_rmse_mm_std,e_cross_rotation_rmse_deg_mean,e_cross_rotation_rmse_deg_std,e_e2e_translation_rmse_mm_mean,e_e2e_translation_rmse_mm_std,e_e2e_rotation_rmse_deg_mean,e_e2e_rotation_rmse_deg_std,cross_view_pixel_transfer_rmse_px_mean,cross_view_pixel_transfer_rmse_px_std,n_common_observations,n_common_corners,n_cross_pairs,n_cross_view_directions,n_e2e_units
board_only,Board-only end-to-end,board,board,d5f1e96f66f4fe2ad5217deb941e4422967fc778525216d00b6cf9b32fed03af,3,3,3,2.482875923093791,1.4094951566850124e-05,1.8083093504756225,0.0002616408257929668,1.8969904943969558,3.231695519286112e-05,1.6031863385851721,0.0009977565361804503,14.010033996807584,0.004169945529817541,1.1061595055838025,5.468643475895004e-05,4.904406494301374,0.001263572952320031,1.2221977631154617,0.0004526920148553296,11.339696819648827,0.0017860484565819098,18,338,9,18,3
cube_only,Cube-only end-to-end,cube,cube,734b326bf1ec211318ab34df622b387d3774097d6a5b73d62baedb76d519fedd,3,3,3,4.534649345616171,0.00017802670527467437,2.5710466237744467,0.00025179565749321035,2.3582644345569506,0.00021612343405526062,2.973883742279512,0.0003196687264471095,12.146333519222877,0.00028772604631743955,1.2720552868320663,2.4988488967683802e-05,3.9187705842893954,0.00023238017004576606,0.9426658528329638,3.6310213863971274e-05,9.446207914085809,7.901409784625913e-05,18,338,9,18,3
board_cube,Board+Cube end-to-end,board+cube,board+cube,7ad783925bd57c0eef257fce2cbed7c533b7d626ad51173bf80a93bc7dbb51d0,3,3,3,3.1155489934221454,7.213487947045328e-05,1.9107982389305285,4.760196418368561e-05,1.885068535812252,1.389441642320994e-05,1.9644702661585267,0.00012581135848361378,13.1258921298247,0.0005366171069749079,1.191049532131727,2.6242449476513884e-05,4.068494174164396,0.00041167204411510125,1.0384592423668881,6.212098371103529e-05,10.526490710779852,0.0002691852282624454,18,338,9,18,3
