mode,num_base_cameras,base_cameras,cross_camera_mean_mm,cube_reproj_mean_px,board_reproj_mean_px,mesh_rmse_mm,dimension_err_mm,pose_repeat_mm,pose_repeat_deg,handeye_pass
board_only,2,"cam0, cam1",26.94,0.619,0.671,3.73,1.87,26.94,15.603,PASS
cube_only,3,"cam0, cam1, cam3",4.69,0.619,0.671,3.49,1.67,4.69,1.904,PASS
hybrid,3,"cam0, cam1, cam3",4.86,0.619,0.671,3.37,1.75,4.86,1.830,PASS
