baseline,board_cross_view_pixel_transfer_rmse_px,board_pose_consistency_translation_rmse_mm,board_pose_consistency_rotation_rmse_deg,n_board_pairs,cube_cross_view_pixel_transfer_rmse_px,cube_pose_consistency_translation_rmse_mm,cube_pose_consistency_rotation_rmse_deg,n_cube_pairs,n_train_relative_candidates,n_train_relative_inliers
opencv_board,1.4140820245605543,1.9468613153990815,0.17471901110230567,7,12.70088415890769,17.04155081584487,1.7671561120023362,9,9,8
opencv_cube,11.308208574713014,16.659369757138403,0.3332266486680869,7,4.246995731145374,4.479787181376066,1.6914827731670339,9,12,10
opencv_board_cube,3.421069780636656,4.440930822160069,0.1580680428373842,7,11.673271916134608,15.258566287344559,1.7586272562541265,9,21,10
